"Country or Territory";"Station Name";"WMO Station Number";"National Station Id Number";"Period";"Element-Statistic Qualifier Code";"Statistic Description";"Unit";"Jan";"Jan Footnotes";"Feb";"Feb Footnotes";"Mar";"Mar Footnotes";"Apr";"Apr Footnotes";"May";"May Footnotes";"Jun";"Jun Footnotes";"Jul";"Jul Footnotes";"Aug";"Aug Footnotes";"Sep";"Sep Footnotes";"Oct";"Oct Footnotes";"Nov";"Nov Footnotes";"Dec";"Dec Footnotes";"Annual";"Annual Footnotes";"Annual NCDC Computed Value";"Annual NCDC Computed Value Footnotes"
"AFGHANISTAN, ISLAMIC STATE OF";"Bust";"40988";"";"1960-1983";"";"Mean Value";"deg C";"13.9";"";"16.9";"";"23.2";"";"29.8";"";"36.0";"";"41.0";"";"41.8";"";"39.7";"";"35.5";"";"29.6";"";"22.0";"";"16.7";"";"29.1";"";"28.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Kandahar";"40990";"";"1964-1983";"";"Mean Value";"deg C";"12.2";"";"14.8";"";"21.6";"";"28.1";"";"34.1";"";"39.1";"";"40.2";"";"38.2";"";"34.0";"";"27.5";"";"21.0";"";"15.4";"";"27.2";"";"27.2";""
"AFGHANISTAN, ISLAMIC STATE OF";"Chakhcharan";"40942";"";"1968-1983";"";"Maximum Value";"deg C";"12.0";"";"11.5";"";"20.6";"";"26.8";"";"32.3";"";"34.6";"";"37.4";"";"35.0";"";"33.0";"";"27.5";"";"21.0";"";"16.7";"";"37.4";"";"25.7";""
"AFGHANISTAN, ISLAMIC STATE OF";"Bamiyan";"40945";"";"1960-1983";"";"Maximum Value";"deg C";"12.0";"";"12.5";"";"20.6";"";"28.7";"";"29.4";"";"31.2";"";"33.2";"";"32.2";"";"31.4";"";"26.2";"";"20.6";"";"13.0";"";"33.2";"";"24.3";""
"AFGHANISTAN, ISLAMIC STATE OF";"Kabul";"40948";"";"1956-1983";"";"Maximum Value";"deg C";"18.8";"";"18.4";"";"26.7";"";"28.7";"";"33.5";"";"36.8";"";"37.7";"";"37.3";"";"35.1";"";"31.6";"";"24.4";"";"20.4";"";"37.7";"";"29.1";""
"AFGHANISTAN, ISLAMIC STATE OF";"Jalal Abad";"40954";"";"1959-1983";"";"Maximum Value";"deg C";"25.0";"";"28.8";"";"34.5";"";"40.5";"";"45.4";"";"47.5";"";"46.7";"";"48.4";"";"44.2";"";"38.2";"";"32.4";"";"25.4";"";"48.4";"";"38.1";""
"AFGHANISTAN, ISLAMIC STATE OF";"Ghazni";"40968";"";"1958-1983";"";"Maximum Value";"deg C";"16.0";"";"17.8";"";"24.8";"";"28.0";"";"33.0";"";"36.3";"";"36.7";"";"35.6";"";"32.5";"";"29.4";"";"21.2";"";"16.6";"";"36.7";"";"27.3";""
"AFGHANISTAN, ISLAMIC STATE OF";"Gardiz";"40970";"";"1964-1983";"";"Maximum Value";"deg C";"14.6";"";"12.7";"";"24.7";"";"26.5";"";"31.0";"";"34.5";"";"34.8";"";"33.8";"";"30.0";"";"27.8";"";"20.0";"";"17.6";"";"34.8";"";"25.7";""
"AFGHANISTAN, ISLAMIC STATE OF";"Khost";"40971";"";"1962-1982";"";"Maximum Value";"deg C";"22.1";"";"26.9";"";"32.3";"";"37.0";"";"40.2";"";"46.4";"";"41.5";"";"37.8";"";"38.6";"";"33.2";"";"29.0";"";"22.0";"";"46.4";"";"33.9";""
"AFGHANISTAN, ISLAMIC STATE OF";"Farah";"40974";"";"1960-1983";"";"Maximum Value";"deg C";"28.3";"";"34.0";"";"34.5";"";"42.0";"";"44.2";"";"47.8";"";"49.5";"";"47.2";"";"43.9";"";"37.9";"";"32.2";"";"26.6";"";"49.5";"";"39.0";""
"AFGHANISTAN, ISLAMIC STATE OF";"Trinkot";"40977";"";"1972-1983";"";"Maximum Value";"deg C";"18.3";"";"21.7";"";"29.5";"";"39.3";"";"38.5";"";"44.5";"";"43.0";"";"42.8";"";"37.9";"";"36.6";"";"28.4";"";"21.6";"";"44.5";"";"33.5";""
"AFGHANISTAN, ISLAMIC STATE OF";"Zaranj";"40986";"";"1969-1983";"";"Maximum Value";"deg C";"24.1";"";"30.6";"";"37.0";"";"45.0";"";"51.0";"";"49.7";"";"49.3";"";"50.0";"";"49.7";"";"42.0";"";"36.0";"";"27.8";"";"51.0";"";"41.0";""
"AFGHANISTAN, ISLAMIC STATE OF";"Bust";"40988";"";"1960-1983";"";"Maximum Value";"deg C";"29.0";"";"30.4";"";"34.2";"";"40.0";"";"45.3";"";"46.7";"";"46.9";"";"46.2";"";"41.8";"";"38.8";"";"32.3";"";"27.2";"";"46.9";"";"38.2";""
"AFGHANISTAN, ISLAMIC STATE OF";"Kandahar";"40990";"";"1964-1983";"";"Maximum Value";"deg C";"25.0";"";"26.2";"";"36.5";"";"37.1";"";"43.0";"";"45.0";"";"46.5";"";"44.5";"";"41.0";"";"37.5";"";"31.5";"";"26.0";"";"46.5";"";"36.7";""

