"Country or Territory";"Station Name";"WMO Station Number";"National Station Id Number";"Period";"Element-Statistic Qualifier Code";"Statistic Description";"Unit";"Jan";"Jan Footnotes";"Feb";"Feb Footnotes";"Mar";"Mar Footnotes";"Apr";"Apr Footnotes";"May";"May Footnotes";"Jun";"Jun Footnotes";"Jul";"Jul Footnotes";"Aug";"Aug Footnotes";"Sep";"Sep Footnotes";"Oct";"Oct Footnotes";"Nov";"Nov Footnotes";"Dec";"Dec Footnotes";"Annual";"Annual Footnotes";"Annual NCDC Computed Value";"Annual NCDC Computed Value Footnotes"
"AFGHANISTAN, ISLAMIC STATE OF";"Chakhcharan";"40942";"";"1964-1983";"";"Minimum Value";"deg C";"-44.0";"";"-46.0";"";"-26.0";"";"-10.8";"";"-6.0";"";"-2.7";"";"0.5";"";"-2.0";"";"-8.0";"";"-14.6";"";"-19.5";"";"-35.0";"";"-46.0";"";"-17.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Bamiyan";"40945";"";"1969-1983";"";"Minimum Value";"deg C";"-30.5";"";"-28.4";"";"-21.2";"";"-6.5";"";"-2.5";"";"0.6";"";"5.4";"";"3.0";"";"-2.6";"";"-7.9";"";"-14.5";"";"-25.0";"";"-30.5";"";"-10.8";""
"AFGHANISTAN, ISLAMIC STATE OF";"Kabul";"40948";"";"1956-1983";"";"Minimum Value";"deg C";"-25.5";"";"-24.8";"";"-12.6";"";"-2.1";"";"0.4";"";"3.1";"";"7.5";"";"6.0";"";"1.0";"";"-3.0";"";"-9.4";"";"-18.9";"";"-25.5";"";"-6.5";""
"AFGHANISTAN, ISLAMIC STATE OF";"Jalal Abad";"40954";"";"1964-1983";"";"Minimum Value";"deg C";"-4.1";"";"-3.5";"";"1.0";"";"6.1";"";"10.6";"";"13.5";"";"19.0";"";"17.5";"";"11.0";"";"2.7";"";"-4.5";"";"-5.5";"";"-5.5";"";"5.3";""
"AFGHANISTAN, ISLAMIC STATE OF";"Ghazni";"40968";"";"1958-1983";"";"Minimum Value";"deg C";"-33.5";"";"-29.2";"";"-17.5";"";"-5.8";"";"0.0";"";"5.0";"";"7.7";"";"2.0";"";"-3.5";"";"-6.0";"";"-13.8";"";"-33.2";"";"-33.5";"";"-10.7";""
"AFGHANISTAN, ISLAMIC STATE OF";"Gardiz";"40970";"";"1970-1983";"";"Minimum Value";"deg C";"-31.0";"";"-30.0";"";"-19.6";"";"-6.4";"";"-2.5";"";"4.7";"";"9.0";"";"4.5";"";"0.5";"";"-9.3";"";"-13.2";"";"-27.8";"";"-31.0";"";"-10.1";""
"AFGHANISTAN, ISLAMIC STATE OF";"Khost";"40971";"";"1972-1983";"";"Minimum Value";"deg C";"-8.5";"";"-10.4";"";"-3.3";"";"1.0";"";"5.4";"";"9.5";"";"13.3";"";"14.6";"";"7.2";"";"0.0";"";"-6.0";"";"-5.5";"";"-10.4";"";"1.4";""
"AFGHANISTAN, ISLAMIC STATE OF";"Farah";"40974";"";"1960-1983";"";"Minimum Value";"deg C";"-10.5";"";"-8.0";"";"-3.0";"";"2.6";"";"7.0";"";"4.0";"";"16.0";"";"12.0";"";"5.3";"";"-0.7";"";"-11.9";"";"-11.0";"";"-11.9";"";".2";""
"AFGHANISTAN, ISLAMIC STATE OF";"Trinkot";"40977";"";"1960-1983";"";"Minimum Value";"deg C";"-20.0";"";"-11.9";"";"-7.9";"";"0.9";"";"4.0";"";"7.0";"";"9.0";"";"5.6";"";"0.5";"";"-3.8";"";"-11.1";"";"-15.8";"";"-20.0";"";"-3.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"Zaranj";"40986";"";"1960-1983";"";"Minimum Value";"deg C";"-13.2";"";"-8.2";"";"-5.2";"";"1.0";"";"5.0";"";"16.0";"";"18.4";"";"13.2";"";"3.9";"";"-2.7";"";"-7.1";"";"-8.8";"";"-13.2";"";"1.0";""
"AFGHANISTAN, ISLAMIC STATE OF";"Bust";"40988";"";"1958-1983";"";"Minimum Value";"deg C";"-15.0";"";"-8.6";"";"-4.3";"";"2.7";"";"5.3";"";"9.5";"";"16.2";"";"11.0";"";"5.2";"";"-9.0";"";"-8.5";"";"-11.8";"";"-15.0";"";"-.6";""
"AFGHANISTAN, ISLAMIC STATE OF";"Kandahar";"40990";"";"1960-1983";"";"Minimum Value";"deg C";"-12.1";"";"-10.0";"";"-4.8";"";"2.0";"";"2.4";"";"8.5";"";"13.5";"";"9.0";"";"5.2";"";"-2.2";"";"-9.3";"";"-11.4";"";"-12.1";"";"-.8";""

